id_non_specifié,nom_non_specifié,localisation,type_non_specifié
L1321,Aisne  Etreux, Soissons,,non_specifié
L1057,Aisne  Etréaupont,,non_specifié
L2034,Aisne  FontainelèsVervins,,non_specifié
L4058,Aisne  Guignicourt,,non_specifié
L1262,Aisne  Guise,,non_specifié
L68,Aisne  Hirson,,non_specifié
L4489,Aisne  La FertéMilon,,non_specifié
L3545,Aisne  La Fère,,non_specifié
L1376,Aisne  Lao,,non_specifié
L938,Aisne  Laon,,non_specifié
L361,Aisne  Laon, ChâteauThierry,,non_specifié
L3072,Aisne  Lemé,,non_specifié
L1542,Aisne  LiesseNotreDame,,non_specifié
L2718,Aisne  Margival,,non_specifié
L1046,Aisne  Marle,,non_specifié
L2614,Aisne  Marle, Laon,,non_specifié
L3755,Aisne  Marle, Soissons,,non_specifié
L2168,Aisne  MercinetVaux,,non_specifié
L185,Aisne  MercinetVaux, NeuillySaintFront,,non_specifié
L1345,Aisne  Morsain, Soissons,,non_specifié
L1873,Aisne  NeuillySaintFront,,non_specifié
L4241,Aisne  NotreDamedeLiesse,,non_specifié
L702,Aisne  OulchyleChâteau,,non_specifié
L2782,Aisne  Pisseleux,,non_specifié
L4308,Aisne  Pommiers,,non_specifié
L725,Aisne  Roucy,,non_specifié
L2085,Aisne  RozetSaintAlbin,,non_specifié
L2066,Aisne  RozoyBellevalle,,non_specifié
L846,Aisne  SaintGobert,,non_specifié
L3179,Aisne  Septmonts,,non_specifié
L2789,Aisne  Sissonne,,non_specifié
L1251,Aisne  Trucy,,non_specifié
L4009,Aisne  VaillysurAisne,,non_specifié
L1681,Aisne  Vasseny,,non_specifié
L4264,Aisne  Venizel,,non_specifié
L1432,Aisne  Vervins,,non_specifié
L1763,Aisne  VicsurAisne,,non_specifié
L2423,Aisne  Villemoyenne,,non_specifié
L2768,Aisne  VillersCotterêts,,non_specifié
L276,Aisne, Ambrief,,non_specifié
L2167,Aisne, Belleu,,non_specifié
L2478,Aisne, BruyèresetMontbérault,,non_specifié
L3288,Aisne, BucyleLong,,non_specifié
L4287,Aisne, Chacrise,,non_specifié
L4392,Aisne, Chouy,,non_specifié
L2965,Aisne, CirySalsogne,,non_specifié
L6,Aisne, CondésurAisne,,non_specifié
L4003,Aisne, Courmelles,,non_specifié
L135,Aisne, CouvronetAumencourt,,non_specifié
L1642,Aisne, FresnoyleGrand,,non_specifié
L4471,Aisne, La Capelle,,non_specifié
L256,Aisne, Le Catelet,,non_specifié
L1625,Aisne, MonsenLaonnois,,non_specifié
L337,Aisne, NeufchâtelsurAisne,,non_specifié
L3400,Aisne, NouvionenThiérache,,non_specifié
L1225,Aisne, SaintMichel,,non_specifié
L2854,Aisne, SaintRémyBlanzy,,non_specifié
L681,Aisne, Tartiers,,non_specifié
L51,Aisne, Tergnier,,non_specifié
L1081,Aisne, Thuys,,non_specifié
L1874,Aisne, TroslyLoire,,non_specifié
L648,Aisne, Urcel,,non_specifié
L2420,Aisne, Vauxrot,,non_specifié
L3271,Aisne, VicsurAisn,,non_specifié
L465,Aisne, VicsurAisne,,,non_specifié
L3190,Aisne, Vierzy,,non_specifié
L685,Aisne, VilleneuvesurFère,,non_specifié
L386,Aisne, Vénizel,,non_specifié
110,AixenProvence,43.527626, 5.445025,ville
177,AixlesBains,45.688789, 5.914682,ville
49,Ajaccio,41.92499, 8.735937,ville
L1995,Ajaccio,,non_specifié
L2299,Ajia Irini,,non_specifié
L1851,Akbaba,,non_specifié
L862,Alaska  Afognak,,non_specifié
L3025,Alaska  Kodiak,,non_specifié
L3991,Albanie,,non_specifié
335,Alençon,48.429326, 0.091616,ville
L2029,Alep,,non_specifié
L1890,Alexandrie d'Egypte,,non_specifié
172,Algérie,43.445993, 5.853337,ville
L651,Algérie  Arba,,non_specifié
L1962,Algérie  BouSaada, El Affroun,,non_specifié
L366,Algérie  Bône,,non_specifié
L1987,Algérie  Cherchell,,non_specifié
L810,Algérie  Djurdjura,,non_specifié
L695,Algérie  El Affroun,,non_specifié
L853,Algérie  Hennaya,,non_specifié
L828,Algérie  Mostaganem,,non_specifié
L1933,Algérie  Orléansville,,non_specifié
L4306,Algérie  Touggourt,,non_specifié
L4201,Algérie, Blida,,non_specifié
L4127,Algérie, Constantine, SaintVincent,,non_specifié
L217,Algérie, Guelma,,non_specifié
L894,Algérie, Timgad,,non_specifié
L1349,Algérie, Tipasa,,non_specifié
L4193,Allemagn,,non_specifié
220,Allemagne,43.38236, 6.313051,ville
L4503,Allemagne,,non_specifié
L1888,Allemagne , Bavière  Amberg,,non_specifié
L1179,Allemagne  AixlaChapelle,,non_specifié
L4098,Allemagne  BadeWürtemberg,,non_specifié
L1641,Allemagne  BasseSaxe,,non_specifié
L812,Allemagne  Berlin,,non_specifié
L3754,Allemagne  Bohême du Nord,,non_specifié
L1430,Allemagne  Brême, Berlin,,non_specifié
L2846,Allemagne  Forêt Noire,,non_specifié
L3570,Allemagne  FrancfortsurleMain,,non_specifié
L1250,Allemagne  Frischhof, Elvingen,,non_specifié
L1440,Allemagne  Hambourg,,non_specifié
L2932,Allemagne  Heidelberg,,non_specifié
L1266,Allemagne  Karlsruhe,,non_specifié
L2882,Allemagne  Leipzig,,non_specifié
L30,Allemagne  Mayence,,non_specifié
L2749,Allemagne  Münich,,non_specifié
L2043,Allemagne  Rhénanie  Friedrichsfeld,,non_specifié
L1582,Allemagne  Ruhr,,non_specifié
L3092,Allemagne  Saxe,,non_specifié
L53,Allemagne  Westphalie,,non_specifié
L4473,Allemagne,,,non_specifié
L3547,Allemagne, Bade,,non_specifié
L4484,Allemagne, BadeWurtemberg, Stuttgart,,non_specifié
L1167,Allemagne, BadeWürtemberg, Giengen an der Brenz,,non_specifié
L585,Allemagne, BadeWürtemberg, OberndorfamNeckar,,non_specifié
L158,Allemagne, BadeWürtemberg, OberndorfamNeckar,,non_specifié
L2007,Allemagne, BadeWürtemberg, Rastatt,,non_specifié
L2156,Allemagne, Bavière,,non_specifié
L3580,Allemagne, Bavière  Mittenwald,,non_specifié
L119,Allemagne, Bavière  Nüremberg,,non_specifié
L19,Allemagne, Bavière, Augsbourg,,non_specifié
L2327,Allemagne, Bavière, Erlang,,non_specifié
L1117,Allemagne, Bavière, Hesse,,non_specifié
L1811,Allemagne, Bavière, Kempten,,non_specifié
L3285,Allemagne, Bavière, Munich,,non_specifié
L381,Allemagne, Bavière, Nuremberg,,non_specifié
L927,Allemagne, Bavière, Würzburg,,non_specifié
L1419,Allemagne, Brandebourg, Potsdam,,non_specifié
L3709,Allemagne, Erlangen,,non_specifié
L3001,Allemagne, Erzgebirge,,non_specifié
L382,Allemagne, Görisried,,non_specifié
L1238,Allemagne, Göttingen,,non_specifié
L3801,Allemagne, Hanovre,,non_specifié
L3507,Allemagne, Hesse, Francfort,,non_specifié
L3616,Allemagne, Hesse, Hanau,,non_specifié
L820,Allemagne, Ludwigsburg,,non_specifié
L348,Allemagne, Mindelheim,,non_specifié
L2876,Allemagne, Neuruppin,,non_specifié
L2558,Allemagne, Palatinat, Kaiserslautern,,non_specifié
L1022,Allemagne, Ratisbonne,,non_specifié
L1685,Allemagne, Ravensbrück,,non_specifié
L214,Allemagne, Rhénanie,,non_specifié
L3152,Allemagne, Rhénanie, Zweibrücken,,non_specifié
L3919,Allemagne, RhénaniePalatinat, Bergzabern,,non_specifié
L4435,Allemagne, RhénaniePalatinat, Trèves,,non_specifié
L1878,Allemagne, RhénanieduNord Westphalie,  Cologne,,non_specifié
L4335,Allemagne, RhénanieduNordWestphalie,,non_specifié
L711,Allemagne, RhénanieduNordWestphalie, Cologne,,non_specifié
L1152,Allemagne, RhénanieduNordWestphalie, HöhrGrenzhausen,,non_specifié
L1236,Allemagne, RhénanieduNordWestphalie, Solingen,,non_specifié
L43,Allemagne, RhénanieduNordWestphalie, Wüppertal,,non_specifié
L409,Allemagne, Sarre, Sarrebruck,,non_specifié
L749,Allemagne, Sarrebrück,,non_specifié
L4082,Allemagne, Saxe, Dresde,,non_specifié
L1708,Allemagne, Saxe, Meissen,,non_specifié
L659,Allemagne, Saxe, Postchappel,,non_specifié
L4115,Allemagne, SaxeAnhalt, Magdeburg,,non_specifié
L2871,Allemagne, Schramberg,,non_specifié
L3067,Allemagne, Silésie, Neisse,,non_specifié
L1091,Allemagne, Souabe,,non_specifié
L4270,Allemagne, Stuttggart,,non_specifié
L237,Allemagne, Thuringe, Erfurt,,non_specifié
L4360,Allemagne, Thuringe, Suhl,,non_specifié
L4359,Allemagne, Thuringe, Sömmerda,,non_specifié
L3464,Allemagne, Thuringe, ZellaMehlis,,non_specifié
L2126,Allemagne, Thuringe, ZellaStBlasii,,non_specifié
L1834,Allemagne, Ulm,,non_specifié
L791,Allemagne, Wurtemberg,,non_specifié
L4140,AllemagneenProvence,,non_specifié
204,Allevard,45.393504, 6.073141,ville
L65,Allier  Bourbonl'Archambault,,non_specifié
L1767,Allier  Chantelle,,non_specifié
L4322,Allier  Commentry,,non_specifié
L1160,Allier  Lapalisse,,non_specifié
L1822,Allier  Le Montet,,non_specifié
L254,Allier  NérislesBains,,non_specifié
L2436,Allier  SaintGérandlePuy,,non_specifié
L3695,Allier  SaintLégersurVouzance,,non_specifié
L863,Allier  Saulzet,,non_specifié
L1658,Allier, Boucé,,non_specifié
L1469,Allier, Cusset,,non_specifié
L780,AlpesMaritimes  Belvédère,,non_specifié
L4343,AlpesMaritimes  Beuil,,non_specifié
L3492,AlpesMaritimes  Biot,,non_specifié
L2444,AlpesMaritimes  Fontan,,non_specifié
L3110,AlpesMaritimes  HautleCagnes,,non_specifié
L2175,AlpesMaritimes  La CroixsurRoudoule,,non_specifié
L3243,AlpesMaritimes  PugetThéniers,,non_specifié
L1351,AlpesMaritimes  Roquebillière,,non_specifié
L2752,AlpesMaritimes  SaintEtiennedeTinée,,non_specifié
L2140,AlpesMaritimes  SaintLaurentduVar,,non_specifié
L3707,AlpesMaritimes  TouetsurVar,,non_specifié
L1744,AlpesdeHauteProvence,,non_specifié
L38,AlpesdeHauteProvence  Annot,,non_specifié
L173,AlpesdeHauteProvence  Barcelonnette,,non_specifié
L1371,AlpesdeHauteProvence  DignelesBains,,non_specifié
L1751,AlpesdeHauteProvence  Forcalquier,,non_specifié
L1543,AlpesdeHauteProvence  Freaux,,non_specifié
L4295,AlpesdeHauteProvence  Manosque,,non_specifié
L2133,AlpesdeHauteProvence  SaintAndrélesAlpes,,non_specifié
L4346,AlpesdeHauteProvence  SaintEtiennelesOrgues,,non_specifié
L3478,AlpesdeHauteProvence  Seyne,,non_specifié
L3455,AlpesdeHauteProvence  Sisteron,,non_specifié
L4142,Alsace  HautRhin  Mulhouse  Belfort,,non_specifié
L1604,Alsace  Oberammergau,,non_specifié
256,Altkirch,47.622304, 7.238429,ville
L2603,Alvito,,non_specifié
L1386,Ambleny,,non_specifié
261,Amboise,47.410737, 0.981446,ville
L3897,Ambrines,,non_specifié
85,Amiens,49.891485, 2.296389,ville
L2254,Amisos,,non_specifié
L837,Ammertzwiller,,non_specifié
L2087,AmélielesBainsPalalda,,non_specifié
L1606,Amérique,,non_specifié
L4151,Amérique Centrale, Costa Rica,,non_specifié
L2820,Amérique Centrale, Costa Rica, Linea Vieja,,non_specifié
L2951,Amérique Centrale, Costa Rica, Linea Vieja, Guanacaste,,non_specifié
L239,Amérique Centrale, Costa Rica, Nicoy,,non_specifié
L4514,Amérique Centrale, Costa Rica, Nicoya,,non_specifié
L3106,Amérique Centrale, Mexique, Vera Cruz,,non_specifié
L2770,Amérique centrale,,non_specifié
L1123,Amérique centrale, Antilles,,non_specifié
L150,Amérique centrale, Antilles, Guadeloupe,,non_specifié
L2713,Amérique centrale, Antilles, Martinique,,non_specifié
L3423,Amérique centrale, Cuba,,non_specifié
L25,Amérique centrale, Haïti,,non_specifié
L3641,Amérique centrale, Mexique, Mexico,,non_specifié
L1814,Amérique du Nord,,non_specifié
L4462,Amérique du Sud, Mexique,,non_specifié
L1596,Amérique du nord, Alaska,,non_specifié
L2056,Amérique du nord, Canada, Calgary,,non_specifié
L1198,Amérique du nord, Canada, TerreNeuveetLabrador, Labrador,,non_specifié
L3357,Amérique du nord, EtatsUnis, Connecticut, Hartford,,non_specifié
L1741,Amérique du nord, EtatsUnis, Connecticut, Middletown,,non_specifié
L1696,Amérique du nord, EtatsUnis, Connecticut, Stonington,,non_specifié
L3257,Amérique du nord, EtatsUnis, Etat de NewYork, NewYork,,non_specifié
L2225,Amérique du nord, EtatsUnis, Illinois, Chicago,,non_specifié
L2835,Amérique du nord, EtatsUnis, LosAngeles,,non_specifié
L3143,Amérique du nord, EtatsUnis, Pennsylvanie, Philadelphie,,non_specifié
L2154,Amérique du nord, EtatsUnis, Salt Lake City,,non_specifié
L1558,Amérique du nord, US,,non_specifié
L2462,Amérique du sud,,non_specifié
L884,Amérique du sud, Argentine,,non_specifié
L1689,Amérique du sud, Argentine, Terre de Feu,,non_specifié
L85,Amérique du sud, Brésil,,non_specifié
L2976,Amérique du sud, Brésil, Amazonie,,non_specifié
L1370,Amérique du sud, Brésil, Rio de Janeiro,,non_specifié
L3558,Amérique du sud, Guyane française,,non_specifié
L621,Amérique du sud, Pérou, Lima,,non_specifié
L618,Amérique du sud, Pérou, Trujillo,,non_specifié
L303,Amérique du sud, Vénézuela,,non_specifié
L586,Amérique, Amérique Centrale, Mexique,,non_specifié
L118,Amérique, Amérique du Nord, EtatsUnis,,non_specifié
L4181,Amérique, Amérique du Sud, Brésil, Buenos Aires,,non_specifié
L3445,Amérique, Amérique du Sud, Pérou,,non_specifié
L2363,Amérique, Amérique du nord,,non_specifié
L704,Amérique, Amérique du nord, Canada,,non_specifié
L4463,Amérique, Amérique du nord, EtatsUnis, Massachusetts, Springfield,,non_specifié
L3925,Amérique, EtatsUnis, CarolineduSud, Charleston,,non_specifié
L2025,Amérique, EtatsUnis, Rochester,,non_specifié
L7,Amérique, EtatsUnis, Washington DC,,non_specifié
L3135,Andé,,non_specifié
56,Angers,47.47207, 0.556585,ville
L331,Angleterre  Bradford,,non_specifié
L11,Angleterre  Chester,,non_specifié
L2107,Angleterre  Etruria,,non_specifié
L3175,Angleterre  Greenwich,,non_specifié
L374,Angleterre  Manche  MontSaintMichel,,non_specifié
L1151,Angleterre  Oxford,,non_specifié
L3533,Angleterre  Plymouth,,non_specifié
L2102,Angleterre, Battersea,,non_specifié
L3508,Angleterre, Caughley,,non_specifié
L1014,Angleterre, Chelmsford,,non_specifié
L4449,Angleterre, Coventry,,non_specifié
L980,Angleterre, Folkestone,,non_specifié
L131,Angleterre, Kent, Canterbury,,non_specifié
L4479,Angleterre, Lane End,,non_specifié
L1036,Angleterre, Morpeth,,non_specifié
L4016,Angleterre, Pays de Galles, Penarth,,non_specifié
L2461,Angleterre, Sheffield,,non_specifié
L1961,Angleterre, Twickenham,,non_specifié
139,Angoulême,45.649231, 0.159349,ville
354,Annecy,45.898404, 6.129695,ville
L593,Anost,,non_specifié
L503,Ansbach,,non_specifié
165,Antibes,43.579541, 7.122027,ville
L2346,Antilles  Porto Rico,,non_specifié
L130,Antilles  PortoRico,,non_specifié
L3957,Antinoë,,non_specifié
L3313,AntiochesurOronte,,non_specifié
L1188,Anvers,,non_specifié
189,Aoste,45.588195, 5.607817,ville
L2182,Aquitaine, PyrénéesAtlantiques, Biarrit,,non_specifié
L480,Aquitaine, PyrénéesAtlantiques, Coarraze,,non_specifié
L4469,Aquitaine, PyrénéesAtlantiques, EauxChaudes,,non_specifié
L3068,Aquitaine, PyrénéesAtlantiques, Gelos,,non_specifié
L4060,Aquitaine, PyrénéesAtlantiques, Lescar,,non_specifié
L481,Aquitaine, PyrénéesAtlantiques, OloronSainteMarie,,non_specifié
L3621,Arabie,,non_specifié
275,Arbois,46.902412, 5.773686,ville
L4436,Ardennes  Attigny,,non_specifié
L2083,Ardennes  Neuflize,,non_specifié
L4274,Ardennes  SaintJeanauxBois,,non_specifié
L323,Ardennes  Vandy,,non_specifié
L4119,Ardennes  Vireux,,non_specifié
L4339,Ardennes, HannogneSaintRémy,,non_specifié
L3628,Ardennes, Nouzonville,,non_specifié
L4182,Ardennes, Revin,,non_specifié
L2466,Ardèche,,non_specifié
L2719,Ardèche  AlbalaRomaine,,non_specifié
L2802,Ardèche  Alboussière,,non_specifié
L1138,Ardèche  Annonay,,non_specifié
L107,Ardèche  Arlebosc,,non_specifié
L869,Ardèche  Aubenas,,non_specifié
L1785,Ardèche  Bidon,,non_specifié
L4057,Ardèche  Chalençon,,non_specifié
L4386,Ardèche  CharmessurRhône,,non_specifié
L3658,Ardèche  Issarles,,non_specifié
L3124,Ardèche  Joyeuse,,non_specifié
L3643,Ardèche  La VoultesurRhône,,non_specifié
L2333,Ardèche  Lamastre,,non_specifié
L3259,Ardèche  Le Teil,,non_specifié
L4445,Ardèche  Les Vans,,non_specifié
L238,Ardèche  Ruoms,,non_specifié
L1395,Ardèche  SaintAgrève,,non_specifié
L879,Ardèche  SaintFélicien,,non_specifié
L3465,Ardèche  Serrières,,non_specifié
L778,Ardèche  TournonsurRhône,,non_specifié
L932,Ardèche  VallonPontd'Arc,,non_specifié
L2286,Ardèche  ValslesBains,,non_specifié
274,Argenteuil,48.947394, 2.246363,ville
L1669,Argolide,,non_specifié
L1215,Ariège  AxlesThermes,,non_specifié
L1019,Ariège  SaintGirons,,non_specifié
L3841,Arlempdes,,non_specifié
63,Arles,43.676155, 4.627897,ville
L4505,Armendaritz,,non_specifié
L2292,Armentières,,non_specifié
L1067,ArmentièressurOurcq,,non_specifié
L2218,Arménie,,non_specifié
L885,Aron,,non_specifié
188,Arras,50.288478, 2.779976,ville
L3959,Ascain,,non_specifié
L379,Asi,,non_specifié
L1302,Asie,,non_specifié
L1189,Asie centrale,,non_specifié
L3553,Asie du SudEst, Birmanie,,non_specifié
L4044,Asie du SudEst, Cambodge, Phnom Penh,,non_specifié
L942,Asie du SudEst, Laos,,non_specifié
L2483,Asie du SudEst, Vietnam, Tonkin,,non_specifié
L3889,Asie du SudEst, Vietnam, Tonkin, Hanoï,,non_specifié
L738,Asie méridionale, Inde, Rajasthan,,non_specifié
L776,Asie occidental,,non_specifié
L2676,Asie occidentale,,non_specifié
L3793,Asie occidentale, Bursa,,non_specifié
L1670,Asie occidentale, Pakistan, Lahore,,non_specifié
L3973,Asie occidentale, Syrie,,non_specifié
L3874,Asie occidentale, Turquie, Antioche,,non_specifié
L3276,Asie occidentale, Turquie, Istanbul,,non_specifié
L4096,Asie occidentale, Turquie, Kutahya,,non_specifié
L2946,Asie orientale,,non_specifié
L2061,Asie orientale, Japon, Kagoshima, Satsuma,,non_specifié
L2189,Asie orientale, Japon, Kanagawa, Yokohama,,non_specifié
L174,Asie orientale, Japon, Saga, Arita,,non_specifié
L4300,Asie orientale, Japon, Saga, Imari,,non_specifié
L1317,Asie orientale, Tibet,,non_specifié
L3493,Asie, Asie Centrale,,non_specifié
L2928,Asie, Asie Centrale, Ouzbékistan,,non_specifié
L1965,Asie, Asie Mineure,,non_specifié
L1420,Asie, Asie Occidentale, Chypre,,non_specifié
L3720,Asie, Asie Occidentale, Iran, Louristan,,non_specifié
L3519,Asie, Asie Occidentale, MoyenOrient,,non_specifié
L2821,Asie, Asie Occidentale, MoyenOrient, Liban, Byblos,,non_specifié
L3240,Asie, Asie Occidentale, Turquie, Iznik,,non_specifié
L1810,Asie, Asie Occidentale, Turquie, Tarse,,non_specifié
L242,Asie, Asie Orientale, Chine, Mongolie intérieure,,non_specifié
L3993,Asie, Asie du Sud, Bhoutan,,non_specifié
L306,Asie, Asie du SudEst,,non_specifié
L3710,Asie, Asie du SudEst, Indonésie,,non_specifié
L2596,Asie, Asie du SudEst, Malaisie,,non_specifié
L284,Asie, Asie du SudEst, Thaïlande,,non_specifié
L3051,Asie, Asie du SudEst, Vietnam,,non_specifié
L3466,Asie, Asie méridionale, Inde,,non_specifié
L134,Asie, Asie occidentale, Afghanistan,,non_specifié
L4172,Asie, Asie occidentale, Afghanistan, Nuristan,,non_specifié
L1072,Asie, Asie occidentale, Iran,,non_specifié
L2112,Asie, Asie occidentale, MoyenOrient, Oman,,non_specifié
L2297,Asie, Asie occidentale, Pakistan,,non_specifié
L984,Asie, Asie orientale, Chine,,non_specifié
L3467,Asie, Asie orientale, Inde, Radjasthan,,non_specifié
L3149,Asie, Asie orientale, Malaisie, Sarawak,,non_specifié
L953,Asie, Asie orientale, Philippines,,non_specifié
L324,Asie, Asie orientale, Philippines, Mindanao,,non_specifié
L97,Asie, Birmanie,,non_specifié
L469,Asie, Bornéo,,non_specifié
L1759,Asie, Chine  Canton,,non_specifié
L4409,Asie, Chine, Fujian, Dehua,,non_specifié
L2008,Asie, Chine, Guangdong,,non_specifié
L2870,Asie, Chine, Guangdong, Canton, Guangzhou,,non_specifié
L3389,Asie, Chine, Guangdong, Foshan,,non_specifié
L2733,Asie, Chine, Guangxi,,non_specifié
L2334,Asie, Chine, Guangxi, Guilin,,non_specifié
L701,Asie, Chine, Guizhou,,non_specifié
L3488,Asie, Chine, Hainan,,non_specifié
L2347,Asie, Chine, Jiangsu,,non_specifié
L1499,Asie, Chine, Jiangsu, Yixing,,non_specifié
